1	[203, 3.6527093596059115, 2.1773399014778323, 24.16256157635468]
2	[191, 3.667539267015707, 2.183246073298429, 22.56020942408377]
7	[158, 3.901898734177215, 2.0569620253164556, 15.60126582278481]
8	[92, 3.6684782608695654, 2.0652173913043477, 20.47826086956522]
3	[88, 3.8806818181818183, 1.9431818181818181, 14.125]
0	[58, 3.706896551724138, 1.8793103448275863, 12.120689655172415]
6	[42, 3.8214285714285716, 1.7142857142857142, 11.071428571428571]
9	[36, 3.888888888888889, 2.111111111111111, 13.694444444444445]
4	[30, 3.783333333333333, 2.2333333333333334, 16.1]
5	[24, 3.5833333333333335, 2.3333333333333335, 11.541666666666666]
